fecha,monto_creditos_millones,grupo_comuna,precio_alquiler,delta_precio_alquiler
2016-05-01,2.075,Emergentes,482.16249633943966,8.647578478444665
2016-05-01,2.075,Otras,407.0597294981507,4.9011131548631255
2016-05-01,2.075,Periféricas,342.81391338300847,23.40046896428318
2016-05-01,2.075,Premium,602.6974262193733,9.630769040686289
2016-06-01,14.247,Emergentes,490.7785829584092,1.7869673988297592
2016-06-01,14.247,Otras,463.8277544826983,13.945871053011027
2016-06-01,14.247,Premium,620.6290875727974,2.975234433288799
2016-07-01,35.622,Emergentes,495.9001607137,1.0435617879692336
2016-07-01,35.622,Otras,458.3255891924592,-1.1862518439362548
2016-07-01,35.622,Periféricas,379.34992948276425,10.657681813204576
2016-07-01,35.622,Premium,576.7407917609629,-7.071582156014652
2016-09-01,238.335,Emergentes,497.4987566919229,0.3223624642351746
2016-09-01,238.335,Otras,505.655620833646,10.326726841627888
2016-09-01,238.335,Periféricas,396.93707398414415,4.636126998984711
2016-09-01,238.335,Premium,607.0788111049352,5.2602520538457505
2016-10-01,394.258,Emergentes,501.53332905626485,0.8109713461737094
2016-10-01,394.258,Otras,495.9177240788729,-1.925796204681523
2016-10-01,394.258,Periféricas,454.07497701075687,14.394700513385434
2016-10-01,394.258,Premium,597.9662539295567,-1.501050112223953
2016-11-01,465.059,Emergentes,512.3465211459754,2.1560266214127313
2016-11-01,465.059,Otras,518.8251576803685,4.619200421611137
2016-11-01,465.059,Periféricas,386.3528876762165,-14.914296704999023
2016-11-01,465.059,Premium,620.0284220100045,3.689533972103856
2017-02-01,743.757,Emergentes,560.1674277016742,9.333703769225728
2017-02-01,743.757,Otras,543.8751902587519,4.828222418970648
2017-02-01,743.757,Periféricas,417.5951293759513,8.086452229630387
2017-02-01,743.757,Premium,690.220700152207,11.32081621591693
2017-03-01,1143.646,Emergentes,566.0718227353765,1.054041120871229
2017-03-01,1143.646,Otras,558.1837733820075,2.6308578474499336
2017-03-01,1143.646,Periféricas,380.4878738998783,-8.885940679319122
2017-03-01,1143.646,Premium,670.2740753318052,-2.889890844479623
2017-05-01,1645.988,Emergentes,624.2253104671792,10.273164180967877
2017-05-01,1645.988,Otras,623.77882909521,11.751516049233263
2017-05-01,1645.988,Periféricas,428.87936132465995,12.718273233988894
2017-05-01,1645.988,Premium,711.9710969840331,6.220891302052327
2017-06-01,2628.317,Emergentes,612.0387565603553,-1.9522684682079405
2017-06-01,2628.317,Otras,599.1808851964389,-3.9433758812318676
2017-06-01,2628.317,Periféricas,352.74525635849824,-17.751869600581806
2017-06-01,2628.317,Premium,703.6056721840937,-1.1749669102265592
2017-07-01,3991.791,Emergentes,552.5232839838493,-9.724134613791728
2017-07-01,3991.791,Otras,562.1103633916555,-6.1868665574386625
2017-07-01,3991.791,Premium,663.3432032301481,-5.722305908786248
2017-09-01,7326.432,Emergentes,609.8301936853277,10.371854248074278
2017-09-01,7326.432,Otras,568.6826744494562,1.1692207590951953
2017-09-01,7326.432,Premium,704.0418546033432,6.135383791529493
2017-10-01,8266.415,Emergentes,605.255663001722,-0.7501318778528866
2017-10-01,8266.415,Otras,611.6353159358855,7.553006872947546
2017-10-01,8266.415,Premium,769.545635183468,9.303961142626903
2017-11-01,9138.866,Emergentes,645.2135615755359,6.60182151384516
2017-11-01,9138.866,Otras,548.7656767364263,-10.278941971043663
2017-11-01,9138.866,Premium,692.7524790870311,-9.979025620505084
2018-02-01,9442.986,Emergentes,593.1171409662475,-8.074291011812441
2018-02-01,9442.986,Otras,570.1042356055592,3.888464562148978
2018-02-01,9442.986,Premium,712.7942705871229,2.8930667309201965
2018-03-01,13937.228,Emergentes,632.1104897801774,6.574308196590961
2018-03-01,13937.228,Otras,536.9088104336851,-5.822694009037539
2018-03-01,13937.228,Periféricas,370.1311222522175,4.928731309727334
2018-03-01,13937.228,Premium,689.488526802931,-3.269631188953744
2018-05-01,10597.384,Emergentes,541.1377488825681,-14.391904954661646
2018-05-01,10597.384,Otras,505.73445753758637,-5.806265848183379
2018-05-01,10597.384,Periféricas,323.28321820398213,-12.657110205477917
2018-05-01,10597.384,Premium,609.8740349451442,-11.54689146561276
2018-06-01,5572.805,Emergentes,481.8940083773448,-10.947996259281428
2018-06-01,5572.805,Otras,422.18735553283,-16.519954446360245
2018-06-01,5572.805,Periféricas,318.63048625022765,-1.4392123351168655
2018-06-01,5572.805,Premium,554.3824960324688,-9.09885250610262
2018-07-01,4932.757,Emergentes,464.0074211502783,-3.7117264203585005
2018-07-01,4932.757,Otras,443.02527829313544,4.9357050814576215
2018-07-01,4932.757,Premium,539.5330859616574,-2.6785495893329334
2018-09-01,3419.301,Emergentes,356.6977001232836,-23.12672516335471
2018-09-01,3419.301,Otras,329.105556264082,-25.714045588540092
2018-09-01,3419.301,Premium,415.97463880335965,-22.90099539272344
2018-10-01,3229.435,Emergentes,377.8036765589331,5.917048646053716
2018-10-01,3229.435,Otras,350.7414694220834,6.574156147227199
2018-10-01,3229.435,Premium,424.6293403820738,2.0805839518513065
2018-11-01,2975.802,Emergentes,380.295651672766,0.659595252362287
2018-11-01,2975.802,Otras,370.3385612456874,5.5873324177760075
2018-11-01,2975.802,Premium,456.65669085834486,7.542425223714744
