fecha,monto_creditos_millones,alquiler_Emergentes,alquiler_Otras,alquiler_Periféricas,alquiler_Premium
2013-07-01,NA,374.116110778606,366.68502094782093,233.65797921540891,437.55509004842486
2013-09-01,NA,355.3713934929405,353.0318532160153,315.00537139349296,409.3359934520156
2013-10-01,NA,361.1318489892114,330.09273491136383,322.6355159340096,403.33025924787376
2013-11-01,NA,386.92744052154774,328.458942632171,319.00431800863606,417.746168825671
2014-02-01,NA,318.66885163242154,285.04348922223625,NA,351.8110004622043
2014-03-01,NA,359.49515553289143,336.1690464048955,NA,403.0265170831209
2014-05-01,NA,337.47763864042935,341.7084078711986,NA,403.47719141323796
2014-06-01,NA,330.6565229642153,308.97083685545226,NA,427.2083685545224
2014-07-01,NA,332.6934005386307,299.7257430879846,NA,406.3542361574383
2014-09-01,NA,291.5716933411155,266.19086139867636,NA,344.5045661799878
2014-10-01,NA,256.45468802853713,264.95826371591306,NA,352.6448274195745
2014-11-01,NA,330.55282442547946,303.1541275022614,NA,394.4131378905438
2015-02-01,NA,348.1891560664328,334.59107346611046,NA,426.8725738192839
2015-03-01,NA,370.00688034687334,369.1111370746842,NA,460.17836974724463
2015-05-01,NA,452.09531549554055,383.9844765112847,NA,499.6213339049048
2015-06-01,NA,416.5531301627474,393.7616436430103,294.70983162852826,480.11177897289883
2015-07-01,NA,391.74254768522957,366.06529850083956,279.0973087532083,451.76123837822297
2015-09-01,NA,420.7039815349106,331.7455279861512,276.999422965955,429.86959030582807
2015-10-01,NA,313.556982536158,312.80081617955955,NA,437.82032047050353
2015-11-01,NA,329.3258544040011,326.35627952208944,NA,464.69227563212
2016-02-01,NA,430.92943663781523,346.4835126327224,NA,438.40861571527023
2016-03-01,NA,443.78577331578464,388.0413822656178,277.8060053258241,549.7520737045086
2016-05-01,2.075,482.16249633943966,407.0597294981507,342.81391338300847,602.6974262193733
2016-06-01,14.247,490.7785829584092,463.8277544826983,NA,620.6290875727974
2016-07-01,35.622,495.9001607137,458.3255891924592,379.34992948276425,576.7407917609629
2016-08-01,127.181,NA,NA,NA,NA
2016-09-01,238.335,497.4987566919229,505.655620833646,396.93707398414415,607.0788111049352
2016-10-01,394.258,501.53332905626485,495.9177240788729,454.07497701075687,597.9662539295567
2016-11-01,465.059,512.3465211459754,518.8251576803685,386.3528876762165,620.0284220100045
2016-12-01,819.47,NA,NA,NA,NA
2017-01-01,590.482,NA,NA,NA,NA
2017-02-01,743.757,560.1674277016742,543.8751902587519,417.5951293759513,690.220700152207
2017-03-01,1143.646,566.0718227353765,558.1837733820075,380.4878738998783,670.2740753318052
2017-04-01,1249.687,NA,NA,NA,NA
2017-05-01,1645.988,624.2253104671792,623.77882909521,428.87936132465995,711.9710969840331
2017-06-01,2628.317,612.0387565603553,599.1808851964389,352.74525635849824,703.6056721840937
2017-07-01,3991.791,552.5232839838493,562.1103633916555,NA,663.3432032301481
2017-08-01,6068.514,NA,NA,NA,NA
2017-09-01,7326.432,609.8301936853277,568.6826744494562,NA,704.0418546033432
2017-10-01,8266.415,605.255663001722,611.6353159358855,NA,769.545635183468
2017-11-01,9138.866,645.2135615755359,548.7656767364263,NA,692.7524790870311
2017-12-01,11465.627,NA,NA,NA,NA
2018-01-01,9497.784,NA,NA,NA,NA
2018-02-01,9442.986,593.1171409662475,570.1042356055592,NA,712.7942705871229
2018-03-01,13937.228,632.1104897801774,536.9088104336851,370.1311222522175,689.488526802931
2018-04-01,13219.732,NA,NA,NA,NA
2018-05-01,10597.384,541.1377488825681,505.73445753758637,323.28321820398213,609.8740349451442
2018-06-01,5572.805,481.8940083773448,422.18735553283,318.63048625022765,554.3824960324688
2018-07-01,4932.757,464.0074211502783,443.02527829313544,NA,539.5330859616574
2018-08-01,5122.669,NA,NA,NA,NA
2018-09-01,3419.301,356.6977001232836,329.105556264082,NA,415.97463880335965
2018-10-01,3229.435,377.8036765589331,350.7414694220834,NA,424.6293403820738
2018-11-01,2975.802,380.295651672766,370.3385612456874,NA,456.65669085834486
2018-12-01,2692.428,NA,NA,NA,NA
2019-01-01,2378.753,NA,NA,NA,NA
2019-02-01,2101.543,397.9775622246815,388.6205325174142,NA,476.092516298232
2019-03-01,2128.531,373.3396532473825,383.33097389875496,NA,462.3017126967073
2019-04-01,2410.731,NA,NA,NA,NA
2019-05-01,2627.608,358.2131939650922,343.9009959570062,NA,437.4039378102094
2019-06-01,1780.417,375.7748354168208,359.5184555070641,NA,449.39467909362133
2019-07-01,1693.802,392.8988253126184,350.1521138959563,NA,465.916743355167
2019-08-01,2039.819,NA,NA,NA,NA
2019-09-01,2294.553,NA,NA,NA,NA
2019-10-01,1927.071,NA,NA,NA,NA
2019-11-01,1787.422,NA,NA,NA,NA
2019-12-01,1505.629,NA,NA,NA,NA
2020-01-01,767.99,NA,NA,NA,NA
2020-02-01,615.974,NA,NA,NA,NA
2020-03-01,372.538,NA,NA,NA,NA
2020-04-01,58.179,NA,NA,NA,NA
2020-05-01,200.61,NA,NA,NA,NA
2020-06-01,260.152,NA,NA,NA,NA
2020-07-01,181.285,NA,NA,NA,NA
2020-08-01,177.953,NA,NA,NA,NA
2020-09-01,292.315,NA,NA,NA,NA
2020-10-01,268.427,NA,NA,NA,NA
2020-11-01,311.425,NA,NA,NA,NA
2020-12-01,264.095,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
