fecha,venta_Emergentes,venta_Otras,venta_Periféricas,venta_Premium,monto_creditos_promedio
2010-02-01,1589.888888888889,1475.7045454545455,1131,2042.4736842105262,NA
2010-05-01,1617,1513.2857142857142,1056,2126.5,NA
2010-08-01,1655,1481.8125,1132.142857142857,2238.214285714286,NA
2010-11-01,1662.6666666666667,1596.9,1211.2941176470588,2239.9375,NA
2011-02-01,1716,1606.9354838709678,1244.75,2279,NA
2011-05-01,1788.625,1575.7058823529412,1233,2323.1666666666665,NA
2011-08-01,1876.3333333333333,1685.6935483870968,1347.5625,2416.214285714286,NA
2011-11-01,2069.1428571428573,1909.923076923077,1303.75,2514.5714285714284,NA
2012-02-01,2104,1971.0666666666666,1360.5,2696.5,NA
2012-05-01,2119,2043.695652173913,837,2657.875,NA
2012-08-01,2156.8,2044.6666666666667,NA,2701,NA
2012-11-01,2150.6666666666665,1987.8,1345.5,2685,NA
2013-02-01,2141.25,2144,NA,2707.8333333333335,NA
2013-05-01,2165.1666666666665,2091.5,1681,2754.375,NA
2013-08-01,2137.3333333333335,2085.04,1874,2569.3333333333335,NA
2013-11-01,2187.8333333333335,2082.9655172413795,1662.8333333333333,2641,NA
2014-02-01,2117,2039.1176470588234,1784.75,2592.8333333333335,NA
2014-05-01,2154.1428571428573,2032.24,1750.5,2530.5714285714284,NA
2014-08-01,2238.5714285714284,2039.7407407407406,1719.5714285714287,2531.875,NA
2014-11-01,2090.222222222222,2072.2727272727275,1719.4285714285713,2524.6666666666665,NA
2015-02-01,2246.3333333333335,2058.4411764705883,1621.7142857142858,2757.5882352941176,NA
2015-05-01,2226.3333333333335,2076.426470588235,1594,2764.5882352941176,NA
2015-08-01,2270.6153846153848,2163.1833333333334,1914.5,2846,NA
2015-11-01,2261.3076923076924,2119.855072463768,1685.375,2866,NA
2016-02-01,2312.7368421052633,2188.4657534246576,1778.111111111111,2939.9,NA
2016-05-01,2332.1875,2174.8630136986303,1793.5555555555557,3006.3684210526317,8.161
2016-08-01,2347.9375,2226.7246376811595,1824.4444444444443,3072.6111111111113,NA
2016-11-01,2469.0666666666666,2251.2368421052633,1867,3137.5,NA
2017-02-01,2457.1666666666665,2329.7471264367814,1881.4444444444443,3187.842105263158,NA
2017-05-01,2547.6428571428573,2342.2820512820513,1867,3249.25,NA
2017-08-01,2645.0625,2417,1912.25,3463.777777777778,NA
2017-11-01,2808.3636363636365,2470.6612903225805,1980.5,3621.5,NA
2018-02-01,2906.3636363636365,2544.3793103448274,2048.1666666666665,3725.4444444444443,NA
2018-05-01,2960.2727272727275,2663.5384615384614,2054.285714285714,3771.777777777778,NA
2018-08-01,3011.6,2651.0298507462685,2122.6666666666665,3772.9,NA
2018-11-01,3011.4166666666665,2694.785714285714,2380,3771.157894736842,NA
2019-02-01,3025.909090909091,2708.764705882353,2326.285714285714,3700.75,NA
2019-05-01,2968,2681,2278.3333333333335,3678.15,NA
